,numberFire,,Ranks,,Passing,,,,Rushing,,,Receiving,,,
Player,FP,CI,Ovr.,Pos.,C/A,Yds,TDs,Ints,Att,Yds,TDs,Rec,Tgt,Yds,TDs
"Samaje Perine S. Perine(RB, DEN)",111.82,"89.16 - 134.48",#111,#35,"0.00 / 0.00",0.00,0.00,0.00,155.82,669.04,4.15,19.07,25.41,134.13,1.05
"JuJu Smith-Schuster J. Smith-Schuster(WR, NE)",107.71,"85.68 - 129.74",#112,#42,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,73.40,109.70,818.46,4.63
"Elijah Mitchell E. Mitchell(RB, SF)",107.67,"85.38 - 129.96",#113,#36,"0.00 / 0.00",0.00,0.00,0.00,150.36,696.60,5.15,7.56,10.85,49.65,0.35
"Quentin Johnston Q. Johnston(WR, LAC)",107.43,"85.43 - 129.43",#114,#43,"0.00 / 0.00",0.00,0.00,0.00,4.28,23.81,0.17,63.26,100.95,803.25,4.12
"Jamaal Williams J. Williams(RB, NO)",106.02,"83.79 - 128.25",#115,#37,"0.00 / 0.00",0.00,0.00,0.00,151.24,655.74,5.56,9.43,12.78,63.37,0.40
"Courtland Sutton C. Sutton(WR, DEN)",105.04,"83.25 - 126.83",#116,#44,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,59.62,104.39,747.72,5.11
"D'Andre Swift D. Swift(RB, PHI)",104.99,"82.92 - 127.06",#117,#38,"0.00 / 0.00",0.00,0.00,0.00,106.07,473.34,4.12,38.18,53.11,256.56,1.39
"Devon Achane D. Achane(RB, MIA)",104.03,"82.05 - 126.01",#118,#39,"0.00 / 0.00",0.00,0.00,0.00,134.70,568.43,3.50,28.27,38.72,199.03,1.35
"George Kittle G. Kittle(TE, SF)",102.87,"81.26 - 124.48",#119,#4,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,63.94,94.98,732.24,5.08
"Kyle Pitts K. Pitts(TE, ATL)",102.83,"81.22 - 124.44",#120,#5,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,60.45,101.71,749.27,4.62
"Michael Thomas M. Thomas(WR, NO)",102.39,"80.82 - 123.96",#121,#45,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,70.41,97.84,778.13,4.13
"Rashee Rice R. Rice(WR, KC)",100.63,"79.21 - 122.05",#122,#46,"0.00 / 0.00",0.00,0.00,0.00,0.00,0.00,0.00,52.53,80.57,711.38,5.09
